CTUID,CT_Name,Pct_Owner_STIR_30plus,Median_Household_Income_2020
5350317.04,5350317.04,36.0,80000.0
5350317.05,5350317.05,22.1,88000.0
5350318.01,5350318.01,35.9,93000.0
5350318.02,5350318.02,41.4,72500.0
5350319.00,5350319.00,33.2,82000.0
5350320.01,5350320.01,32.8,65000.0
5350320.02,5350320.02,28.6,81000.0
5350321.01,5350321.01,35.2,103000.0
5350321.02,5350321.02,34.1,85000.0
5350322.01,5350322.01,42.4,70000.0
5350322.02,5350322.02,39.2,78000.0
5350323.01,5350323.01,25.9,87000.0
5350323.02,5350323.02,30.0,101000.0
5350324.01,5350324.01,24.2,91000.0
5350324.02,5350324.02,27.7,87000.0
5350324.03,5350324.03,24.9,84000.0
5350324.05,5350324.05,23.5,72500.0
5350324.06,5350324.06,21.7,100000.0
5350330.00,5350330.00,18.1,102000.0
5350331.01,5350331.01,19.2,102000.0
5350331.03,5350331.03,24.2,72000.0
5350331.04,5350331.04,36.0,88000.0
5350332.00,5350332.00,30.7,63200.0
5350333.00,5350333.00,20.6,106000.0
5350334.00,5350334.00,17.8,125000.0
5350335.00,5350335.00,16.8,75500.0
5350336.00,5350336.00,22.0,96000.0
5350337.01,5350337.01,49.1,65000.0
5350337.02,5350337.02,30.9,65000.0
5350338.00,5350338.00,18.4,91000.0
5350339.00,5350339.00,14.6,100000.0
5350340.00,5350340.00,23.1,78500.0
5350341.02,5350341.02,25.0,68500.0
5350341.03,5350341.03,,48800.0
5350341.04,5350341.04,28.4,62000.0
5350342.00,5350342.00,21.4,94000.0
5350343.00,5350343.00,19.8,75000.0
5350344.01,5350344.01,24.2,76000.0
5350344.02,5350344.02,40.7,42400.0
5350345.00,5350345.00,25.5,91000.0
5350346.01,5350346.01,24.8,71500.0
5350346.02,5350346.02,22.3,76000.0
5350347.00,5350347.00,23.9,108000.0
5350348.00,5350348.00,20.3,98000.0
5350349.00,5350349.00,25.2,68000.0
5350350.00,5350350.00,17.2,81000.0
5350351.01,5350351.01,22.0,72000.0
5350351.02,5350351.02,24.4,74000.0
5350352.00,5350352.00,28.0,81000.0
